train dataset: size=1008
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
val dataset: size=336
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
model: #params=63.5M
epoch 47/1000, train: loss=0.0440, val: psnr=30.9642, val: ssim=0.8832, val: sam=18.1694, 32.2s 23.7m/8.4h
epoch 48/1000, train: loss=0.0386, val: psnr=30.7553, val: ssim=0.8849, val: sam=19.1061, 26.7s 24.1m/8.4h
epoch 49/1000, train: loss=0.0400, val: psnr=30.0892, val: ssim=0.8703, val: sam=19.8241, 26.2s 24.6m/8.4h
epoch 50/1000, train: loss=0.0370, val: psnr=31.1882, val: ssim=0.9081, val: sam=17.1174, 31.9s 25.1m/8.4h
epoch 51/1000, train: loss=0.0367, val: psnr=30.7648, val: ssim=0.8710, val: sam=19.8684, 27.4s 25.5m/8.3h
epoch 52/1000, train: loss=0.0339, val: psnr=31.3147, val: ssim=0.9051, val: sam=17.2301, 31.2s 26.1m/8.4h
epoch 53/1000, train: loss=0.0374, val: psnr=31.3560, val: ssim=0.8933, val: sam=16.8531, 31.9s 26.6m/8.4h
epoch 54/1000, train: loss=0.0358, val: psnr=31.2272, val: ssim=0.9049, val: sam=17.3720, 27.1s 27.0m/8.3h
epoch 55/1000, train: loss=0.0328, val: psnr=31.2677, val: ssim=0.9177, val: sam=17.4876, 26.4s 27.5m/8.3h
epoch 56/1000, train: loss=0.0405, val: psnr=30.5836, val: ssim=0.8979, val: sam=19.2471, 25.6s 27.9m/8.3h
epoch 57/1000, train: loss=0.0344, val: psnr=31.0168, val: ssim=0.9108, val: sam=16.9986, 26.6s 28.4m/8.3h
epoch 58/1000, train: loss=0.0352, val: psnr=31.4303, val: ssim=0.9019, val: sam=17.3311, 30.5s 28.9m/8.3h
epoch 59/1000, train: loss=0.0330, val: psnr=30.8698, val: ssim=0.9110, val: sam=17.2023, 25.9s 29.3m/8.3h
epoch 60/1000, train: loss=0.0306, val: psnr=32.2270, val: ssim=0.9190, val: sam=17.0389, 31.4s 29.8m/8.3h
epoch 61/1000, train: loss=0.0287, val: psnr=31.8479, val: ssim=0.9179, val: sam=16.7725, 26.4s 30.3m/8.3h
epoch 62/1000, train: loss=0.0327, val: psnr=32.2518, val: ssim=0.8981, val: sam=19.1128, 33.3s 30.8m/8.3h
epoch 63/1000, train: loss=0.0333, val: psnr=30.5419, val: ssim=0.8846, val: sam=16.6044, 26.0s 31.2m/8.3h
epoch 64/1000, train: loss=0.0327, val: psnr=31.9284, val: ssim=0.9065, val: sam=17.8749, 25.6s 31.7m/8.2h
epoch 65/1000, train: loss=0.0288, val: psnr=30.8785, val: ssim=0.9037, val: sam=17.5459, 25.5s 32.1m/8.2h
epoch 66/1000, train: loss=0.0319, val: psnr=31.0554, val: ssim=0.8707, val: sam=17.3851, 25.3s 32.5m/8.2h
epoch 67/1000, train: loss=0.0309, val: psnr=32.3482, val: ssim=0.9323, val: sam=17.2132, 31.6s 33.0m/8.2h
epoch 68/1000, train: loss=0.0310, val: psnr=32.6013, val: ssim=0.9345, val: sam=16.3416, 32.1s 33.6m/8.2h
epoch 69/1000, train: loss=0.0299, val: psnr=32.7007, val: ssim=0.9226, val: sam=16.7019, 33.0s 34.1m/8.2h
epoch 70/1000, train: loss=0.0330, val: psnr=31.5141, val: ssim=0.8850, val: sam=18.9373, 26.2s 34.6m/8.2h
epoch 71/1000, train: loss=0.0311, val: psnr=32.4008, val: ssim=0.8970, val: sam=18.0285, 25.5s 35.0m/8.2h
epoch 72/1000, train: loss=0.0283, val: psnr=32.6670, val: ssim=0.9329, val: sam=15.3376, 26.0s 35.4m/8.2h
epoch 73/1000, train: loss=0.0298, val: psnr=31.2363, val: ssim=0.9131, val: sam=19.7422, 26.0s 35.9m/8.2h
epoch 74/1000, train: loss=0.0302, val: psnr=31.8100, val: ssim=0.8980, val: sam=20.0898, 25.1s 36.3m/8.2h
epoch 75/1000, train: loss=0.0298, val: psnr=32.6403, val: ssim=0.9288, val: sam=16.3446, 26.0s 36.7m/8.2h
epoch 76/1000, train: loss=0.0287, val: psnr=32.8002, val: ssim=0.9174, val: sam=15.1526, 30.7s 37.2m/8.2h
epoch 77/1000, train: loss=0.0321, val: psnr=31.8824, val: ssim=0.9030, val: sam=18.6891, 26.4s 37.7m/8.2h
epoch 78/1000, train: loss=0.0310, val: psnr=32.4069, val: ssim=0.8983, val: sam=18.4826, 26.6s 38.1m/8.1h
epoch 79/1000, train: loss=0.0315, val: psnr=32.7085, val: ssim=0.9256, val: sam=15.4680, 25.4s 38.5m/8.1h
epoch 80/1000, train: loss=0.0303, val: psnr=30.9788, val: ssim=0.9206, val: sam=18.1022, 25.5s 39.0m/8.1h
epoch 81/1000, train: loss=0.0313, val: psnr=32.5872, val: ssim=0.9173, val: sam=18.0715, 25.4s 39.4m/8.1h
epoch 82/1000, train: loss=0.0272, val: psnr=32.8842, val: ssim=0.9295, val: sam=15.7505, 31.7s 39.9m/8.1h
epoch 83/1000, train: loss=0.0266, val: psnr=32.6674, val: ssim=0.9344, val: sam=16.6356, 26.1s 40.3m/8.1h
epoch 84/1000, train: loss=0.0263, val: psnr=33.4346, val: ssim=0.9425, val: sam=14.9946, 31.6s 40.9m/8.1h
epoch 85/1000, train: loss=0.0279, val: psnr=33.4352, val: ssim=0.9160, val: sam=17.6798, 32.7s 41.4m/8.1h
epoch 86/1000, train: loss=0.0292, val: psnr=32.3520, val: ssim=0.9381, val: sam=16.1043, 26.4s 41.8m/8.1h
epoch 87/1000, train: loss=0.0270, val: psnr=31.6792, val: ssim=0.9231, val: sam=16.7827, 25.7s 42.3m/8.1h
epoch 88/1000, train: loss=0.0270, val: psnr=32.3038, val: ssim=0.9199, val: sam=17.1128, 25.4s 42.7m/8.1h
epoch 89/1000, train: loss=0.0289, val: psnr=30.4263, val: ssim=0.9029, val: sam=18.2674, 25.7s 43.1m/8.1h
epoch 90/1000, train: loss=0.0338, val: psnr=32.2167, val: ssim=0.9229, val: sam=16.9027, 26.3s 43.6m/8.1h
epoch 91/1000, train: loss=0.0313, val: psnr=33.5225, val: ssim=0.9238, val: sam=17.0308, 31.5s 44.1m/8.1h
epoch 92/1000, train: loss=0.0274, val: psnr=31.8594, val: ssim=0.9229, val: sam=20.7670, 25.8s 44.5m/8.1h
